metric,method,value,unit,data,variables,location,forest,details,year,title
r^2,cart,0.632,,"landsat,smrt","bands,texture,vi","Yunnan Province, China",broad leaved forests,,2024,Remote Sensing Estimation of Forest Carbon Stock Based on Machine Learning Algorithms
r^2,cart,0.634,,"landsat,smrt","bands,texture,vi","Yunnan Province, China",coniferous forests,,2024,Remote Sensing Estimation of Forest Carbon Stock Based on Machine Learning Algorithms
r^2,cart,0.83,,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
rmse,cart,85.63,mg/ha,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
mae,cart,65.11,mg/ha,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
re,cart,0.47,,"alos,landsat,smrt","bands,texture,topo,vi","Huodong Mining District, China",mixed forests,,2023,Evaluation of machine learning methods and multisource remote sensing data combinations to construct forest above-ground biomass models
r^2,catboost,0.71,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
rmse,catboost,46.67,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
bias,catboost,0.1,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
relative rmse,catboost,26,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
r^2,catboost,0.77,,landsat,"bands,vi,texture,topo,canopy","Jilin province, China",coniferous forests,coniferous forests,2021,Combination of Feature Selection and CatBoost for Prediction: The First Application to the Estimation of Aboveground Biomass
rmse,catboost,26.54,mg/ha,landsat,"bands,vi,texture,topo,canopy","Jilin province, China",coniferous forests,coniferous forests - mg/ha,2021,Combination of Feature Selection and CatBoost for Prediction: The First Application to the Estimation of Aboveground Biomass
bias,catboost,-5.56,mg/ha,landsat,"bands,vi,texture,topo,canopy","Jilin province, China",coniferous forests,coniferous forests - mg/ha,2021,Combination of Feature Selection and CatBoost for Prediction: The First Application to the Estimation of Aboveground Biomass
relative rmse,catboost,25.62,,landsat,"bands,vi,texture,topo,canopy","Jilin province, China",coniferous forests,coniferous forests,2021,Combination of Feature Selection and CatBoost for Prediction: The First Application to the Estimation of Aboveground Biomass
r^2,catboost,0.492,,"S1,S2,alos","backscatter,vi","northern coast, Vietnam",mangrove forests,mangroves,2020,"Comparison of Machine Learning Methods for Estimating Mangrove Above-Ground Biomass Using Multiple Source Remote Sensing Data in the Red River Delta Biosphere Reserve, Vietnam"
rmse,catboost,31.75,mg/ha,"S1,S2,alos","backscatter,vi","northern coast, Vietnam",mangrove forests,mangroves - mg/ha,2020,"Comparison of Machine Learning Methods for Estimating Mangrove Above-Ground Biomass Using Multiple Source Remote Sensing Data in the Red River Delta Biosphere Reserve, Vietnam"
r^2,catboost,0.42,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,catboost,0.9,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,catboost,53.4,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
r^2,catboost,0.74,,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
rmse,catboost,23,mg/ha,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests - mg/ha,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
r^2,catboost,0.66,,S2,"bands,texture,vi","East Jilin, China",mixed broad leaved-forest,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
rmse,catboost,20.29,mg/ha,S2,"bands,texture,vi","East Jilin, China",mixed broad leaved-forest,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
bias,catboost,-0.12,mg/ha,S2,"bands,texture,vi","East Jilin, China",mixed broad leaved-forest,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
relative rmse,catboost,12.69,,S2,"bands,texture,vi","East Jilin, China",mixed broad leaved-forest,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
r^2,catboost,0.64,,S2,"bands,texture,vi","Central Guangxi, China",planted forests,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
rmse,catboost,15.89,mg/ha,S2,"bands,texture,vi","Central Guangxi, China",planted forests,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
bias,catboost,0.05,mg/ha,S2,"bands,texture,vi","Central Guangxi, China",planted forests,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
relative rmse,catboost,29.86,,S2,"bands,texture,vi","Central Guangxi, China",planted forests,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
r^2,catboost,0.67,,"S1,S2","bands,vi,bpv,polar,texture,topo,canopy","Diamir district, Pakistan",scrub forests,,2024,Evaluating machine learning approaches for aboveground biomass prediction in fragmented high-elevated forests using multi-sensor satellite data
rmse,catboost,115.41,mg/ha,"S1,S2","bands,vi,bpv,polar,texture,topo,canopy","Diamir district, Pakistan",scrub forests,,2024,Evaluating machine learning approaches for aboveground biomass prediction in fragmented high-elevated forests using multi-sensor satellite data
mae,catboost,96.56,mg/ha,"S1,S2","bands,vi,bpv,polar,texture,topo,canopy","Diamir district, Pakistan",scrub forests,,2024,Evaluating machine learning approaches for aboveground biomass prediction in fragmented high-elevated forests using multi-sensor satellite data
r^2,catboost,0.92,,landsat,"bands,vi,texture","Zhejiang Province, China",subtropical forests,,2024,Landsat-based spatiotemporal  estimation of subtropical  forest aboveground carbon  storage using machine  learning algorithms with  hyperparameter tuning
rmse,catboost,4.06,mg/ha,landsat,"bands,vi,texture","Zhejiang Province, China",subtropical forests,,2024,Landsat-based spatiotemporal  estimation of subtropical  forest aboveground carbon  storage using machine  learning algorithms with  hyperparameter tuning
r^2,catboost,0.7,,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
rmse,catboost,6.29,mg/ha,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
relative rmse,catboost,22.51,,"S2,landsat","bands,texture,vi","Shanghai, China",urban forests,,2023,"Prediction of Urban Forest Aboveground Carbon Using Machine Learning Based on Landsat 8 and Sentinel-2: A Case Study of Shanghai, China"
r^2,clrx,0.67,,S2,"bands,texture,vi","East Jilin, China",mixed broad leaved-forest,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
rmse,clrx,20.21,mg/ha,S2,"bands,texture,vi","East Jilin, China",mixed broad leaved-forest,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
bias,clrx,-0.1,mg/ha,S2,"bands,texture,vi","East Jilin, China",mixed broad leaved-forest,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
relative rmse,clrx,12.63,,S2,"bands,texture,vi","East Jilin, China",mixed broad leaved-forest,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
r^2,clrx,0.66,,S2,"bands,texture,vi","Central Guangxi, China",planted forests,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
rmse,clrx,15.59,mg/ha,S2,"bands,texture,vi","Central Guangxi, China",planted forests,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
bias,clrx,0.18,mg/ha,S2,"bands,texture,vi","Central Guangxi, China",planted forests,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
relative rmse,clrx,29.34,,S2,"bands,texture,vi","Central Guangxi, China",planted forests,,2024,Improving Forest Above-Ground Biomass Estimation by Integrating Individual Machine Learning Models
relative rmse,cub,0.33,,eo-1,"bands,vi,bpv","Ecological Station of Águas Emendadas, Brazil",savanna forests,savannas,2021,Aboveground biomass estimates over Brazilian savannas using hyperspectral metrics and machine learning models: experiences with Hyperion/EO-2
mse,gdt,769.59,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
rmse,gdt,27.74,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
mae,gdt,10.65,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,gdt,0.79,,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,ensemble,0.37,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,ensemble,0.93,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,ensemble,55.74,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
r^2,ensemble,0.41,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,ensemble,0.9,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,ensemble,53.93,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
r^2,ensemble,0.82,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
rmse,ensemble,5.67,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
mae,ensemble,3.97,,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
rmse,ensemble,26.56,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season - mg/ha,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
bias,ensemble,0.12,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r,ensemble,0.94,,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
rmse,ensemble,54.61,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season - mg/ha,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
bias,ensemble,0.27,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r,ensemble,0.48,,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,dry season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r^2,ensemble,0.71,,"S2,icesat","bands,canopy,vi","Hebei province, northern China",plantation forest,plantation,2022,Integrating spaceborne LiDAR and Sentinel-2 images to estimate forest aboveground biomass in Northern China
rmse,ensemble,45.67,,"S2,icesat","bands,canopy,vi","Hebei province, northern China",plantation forest,plantation - mg/ha,2022,Integrating spaceborne LiDAR and Sentinel-2 images to estimate forest aboveground biomass in Northern China
rmse,ensemble,32.4,mg/ha,"S1,alos,landsat","backscatter,canopy,climate,topo,vi",Europe,mixed forest,,2023,UPDATING ABOVEGROUND BIOMASS AT A PAN-EUROPEAN SCALE THROUGH SATELLITE DATA AND ARTIFICIAL INTELLIGENCE
mae,ensemble,21.5,mg/ha,"S1,alos,landsat","backscatter,canopy,climate,topo,vi",Europe,mixed forest,,2023,UPDATING ABOVEGROUND BIOMASS AT A PAN-EUROPEAN SCALE THROUGH SATELLITE DATA AND ARTIFICIAL INTELLIGENCE
r^2,ewcm,0.47,,radarsat,backscatter,"Northern, India",Dryland forest,Dryland forest,2019,POLINSAR BASED SCATTERING INFORMATION RETRIEVAL FOR FOREST ABOVEGROUND BIOMASS ESTIMATION
rmse,ewcm,55.18,t/ha,radarsat,backscatter,"Northern, India",Dryland forest,Dryland forest - t/ha,2019,POLINSAR BASED SCATTERING INFORMATION RETRIEVAL FOR FOREST ABOVEGROUND BIOMASS ESTIMATION
mse,gam,1285.09,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
rmse,gam,35.85,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
mae,gam,20.53,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,gam,0.65,,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
rmse,gam,47.54,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season - mg/ha,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
bias,gam,0.25,mg/ha,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
r,gam,0.56,,S2,"bands,vi","Jharkhand, India",dry dense deciduous forests,wet season,2022,Remote sensing-based biomass estimation of dry deciduous tropical forest using machine learning and ensemble analysis
rmse,gam,28.35,mg/ha,"S1,alos","backscatter,polar,texture,topo","Odisha state, India",Mangrove forests,,2022,A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest
r^2,gam,0.93,,"S1,alos","backscatter,polar,texture,topo","Odisha state, India",Mangrove forests,,2022,A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest
mae,gam,19.55,mg/ha,"S1,alos","backscatter,polar,texture,topo","Odisha state, India",Mangrove forests,,2022,A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest
bias,gam,2.15,mg/ha,"S1,alos","backscatter,polar,texture,topo","Odisha state, India",Mangrove forests,,2022,A new synergistic approach for Sentinel-1 and PALSAR-2 in a machine learning framework to predict aboveground biomass of a dense mangrove forest
r^2,gbt,0.69,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
rmse,gbt,47.95,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
bias,gbt,-0.11,mg/ha,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
relative rmse,gbt,26.72,,"landsat,modis,glass,icesat,smrt","bpv,canopy,climate,topo",global,mixed forests,"ensemble (n=50) average under random sampling (not stratified), SRTM",2020,An Evaluation of Eight Machine Learning Regression Algorithms for Forest Aboveground Biomass Estimation from Multiple Satellite Data Products
rmse,gbt,17.86,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type enf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,gbt,0.79,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type enf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
rmse,gbt,58.9,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type ebf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,gbt,0.69,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type ebf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
rmse,gbt,15.63,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type dnf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,gbt,0.83,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type dnf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
rmse,gbt,28.71,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type dbf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,gbt,0.84,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type dbf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
rmse,gbt,38.66,mg/ha,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type mf - mg/ha,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,gbt,0.75,,"icesat,glass,modis,smrt","bpv,canopy,climate,topo",global,mixed forests ,global for forest type mf,2020,A New Method for Generating a Global Forest  Aboveground Biomass Map From Multiple  High-Level Satellite Products and  Ancillary Information
r^2,gbt,0.563,,"S1,S2,alos","backscatter,vi","northern coast, Vietnam",mangrove forests,mangroves,2020,"Comparison of Machine Learning Methods for Estimating Mangrove Above-Ground Biomass Using Multiple Source Remote Sensing Data in the Red River Delta Biosphere Reserve, Vietnam"
rmse,gbt,29.44,mg/ha,"S1,S2,alos","backscatter,vi","northern coast, Vietnam",mangrove forests,mangroves - mg/ha,2020,"Comparison of Machine Learning Methods for Estimating Mangrove Above-Ground Biomass Using Multiple Source Remote Sensing Data in the Red River Delta Biosphere Reserve, Vietnam"
r^2,gbt,0.288,,"S1,S2,smtr","texture,vi,bands,backscatter","West Bengal, India",tropical dry deciduous forests,,2025,Accuracy and consistency of the machine learning models for predicting carbon stock in different carbon pools using satellite‐based predictor variables
rmse,gbt,35.8,mg/ha,"S1,S2,smtr","texture,vi,bands,backscatter","West Bengal, India",tropical dry deciduous forests,mg/ha,2025,Accuracy and consistency of the machine learning models for predicting carbon stock in different carbon pools using satellite‐based predictor variables
r^2,gbt,0.4,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
rmse,gbt,0.92,t/ha,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,unknown units,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
relative rmse,gbt,54.6,,S2,"vi,topo,climate",Friuli Venezia Giulia in North-East Italy,mountain forests,,2024,Assessing ensemble models for carbon sequestration and storage estimation in forests using remote sensing data
mse,gbt,835.78,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
rmse,gbt,28.91,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
mae,gbt,14.36,mg/ha,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests - mg/ha,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,gbt,0.78,,S2,vi,"Jharkhand, India",Tropical forests,Tropical forests,2024,Machine Learning Approach to Biomass Estimation: Integrating Satellite and Ground Data in Sal Forests of Jharkhand
r^2,gbt,0.71,,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
rmse,gbt,8.8,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
mae,gbt,6.57,mg/ha,"S1,S2,smrt","polar,bands,topo,climate,vi,soil,texture","Western Ghats, India",Tropical forests,Diverse forests - mg/ha,2024,"A comparative analysis of machine learning techniques for aboveground biomass estimation: A case study of the Western Ghats, India"
r^2,gbt,0.443,,"S2,landsat","bands,vi,climate,topo","Yunnan Province, china",rainforests,,2023,Estimating the Aboveground Biomass of Various Forest Types with High Heterogeneity at the Provincial Scale Based on Multi-Source Data
rmse,gbt,55.789,mg/ha,"S2,landsat","bands,vi,climate,topo","Yunnan Province, china",rainforests,mg/ha,2023,Estimating the Aboveground Biomass of Various Forest Types with High Heterogeneity at the Provincial Scale Based on Multi-Source Data
r^2,gbt,0.7,,"icesat,modis,smrt","climate,vi,topo,canopy",china,mixed forests,all forests,2022,Estimation of National Forest Aboveground Biomass from Multi-Source Remotely Sensed Dataset with Machine Learning Algorithms in China
